,title,broadcaster,start_date,end_date,last_rating
0,나의 나라,JTBC,2019.10.04.,2019.11.23.,5.0%
1,눈이 부시게,JTBC,2019.02.11.,2019.03.19.,9.7%
2,레버리지 : 사기조작단,TV조선,2019.10.13.,2019.12.08.,1.9%
3,리갈하이,JTBC,2019.02.08.,2019.03.30.,3.3%
4,멜로가 체질,JTBC,2019.08.09.,2019.09.28.,1.8%
5,바람이 분다,JTBC,2019.05.27.,2019.07.16.,5.7%
6,바벨,TV조선,2019.01.27.,2019.03.24.,3.7%
7,보좌관 - 세상을 움직이는 사람들,JTBC,2019.06.14.,2019.07.13.,5.3%
8,아름다운 세상,JTBC,2019.04.05.,2019.05.25.,5.8%
9,열여덟의 순간,JTBC,2019.07.22.,2019.09.10.,3.9%
10,우아한 가,MBN,2019.08.21.,2019.10.17.,8.5%
11,으라차차 와이키키 2,JTBC,2019.03.25.,2019.05.14.,2.1%
12,조선생존기,TV조선,2019.06.08.,2019.08.17.,1.7%
13,조선혼담공작소 꽃파당,JTBC,2019.09.16.,2019.11.05.,4.3%
14,평일 오후 세시의 연인,채널A,2019.07.05.,2019.08.24.,2.1%
