,title,broadcating_count,average_rating
0,17세의 조건,4부작,2.85
1,검법남녀 시즌2,32부작,6.9
2,국민 여러분!,36부작,6.16
3,너의 노래를 들려줘,32부작,3.01
4,녹두꽃,48부작,6.64
5,농부사관학교,2부작,1.5
6,닥터 프리즈너,32부작,13.23
7,닥터탐정,32부작,4.06
8,"단, 하나의 사랑",32부작,7.27
9,더 뱅커,32부작,4.09
10,동네변호사 조들호 2 죄와 벌,40부작,5.83
11,동백꽃 필 무렵,40부작,13.86
12,모두 다 쿵따리,99부작,3.98
13,배가본드,45부작,9.32
14,봄밤,32부작,6.37
15,봄이 오나 봄,32부작,2.51
16,빅이슈,32부작,3.41
17,생일편지,3부작,1.7
18,세상에서 제일 예쁜 내 딸,108부작,27.64
19,수상한 장모,123부작,6.1
20,슬플 때 사랑한다,40부작,9.71
21,시크릿 부티크,32부작,4.33
22,신입사관 구해령,40부작,5.28
23,아이템,32부작,3.71
24,어쩌다 발견한 하루,32부작,3.22
25,여름아 부탁해,128부작,19.32
26,열혈사제,40부작,16.12
27,왜그래 풍상씨,40부작,12.19
28,왼손잡이 아내,103부작,14.57
29,용왕님 보우하사,121부작,6.94
30,웰컴2라이프,32부작,4.78
31,의사요한,32부작,8.3
32,이몽,40부작,4.76
33,저스티스,32부작,5.24
34,절대그이,36부작,2.5
35,조선로코 - 녹두전,32부작,6.21
36,초면에 사랑합니다,32부작,3.35
37,태양의 계절,102부작,12.67
38,특별근로감독관 조장풍,32부작,6.51
39,퍼퓸,32부작,5.31
40,해치,48부작,6.84
41,황금정원,60부작,7.41
42,회사 가기 싫어,13부작,2.05
43,힙합왕 - 나스나길,12부작,1.14
